task_id,domain,sub_domain,name,ground_truth,problem_statement
11Ex,Physics,Statistical Physics,Finite Chain Detachment Expectation,4.84,"A polymer is confined to a narrow planar trench and follows a prescribed right-angle “staircase” of N=20 unit segments (d=1.00). Its rightmost endpoint is fixed at P_0 = (8.00, 0.00). Moving inward along the chain from this end, the segment directions alternate between a unit step in -x and a unit step in +y (starting with -x for the first segment). Segments can detach only in order from the right end, so at any instant the set of detached segments is a single contiguous block of length n in {0,1,...,20}. Detaching a segment costs energy epsilon = 1.70. Each detached segment has g=3 internal microstates, whereas each attached segment has one. The two free ends are joined by a frictionless ring connected to an ideal force source that maintains a constant tension of magnitude f=0.70 along the direction of the taut free polymer. The ring’s location is fixed at a clamp point A = (15.00, 0.00). For a given n, the free polymer between A and the peel front is taut and takes the shortest possible path in the plane from A to the peel front that does not enter a smooth circular exclusion region (a post) of radius R = 1.20 centered at (10.00, 3.50). What is the expected number of detached segments <n>, in thermal equilibrium for this finite chain?"
12Ex,Physics,Statistical Physics,Josephson Array Free Energy,-1.75e-22,"A long 1D Josephson junction array supports phase slips that can nucleate only from the right end, so the allowed macrostates are indexed by a single integer n >= 0 (the rightmost n junctions have slipped). The n=0 state has energy 0. Each additional slip has a core energy cost epsilon. Each slipped junction contributes a factor g of internal microstates; unslipped junctions have one. Biasing: the array is connected to a common reference node by two ideal current sources. The right source injects a current +I from the reference node into the right pad; the left source injects a current -I from the reference node into the left pad (so the array current is I from right to left). Let the instantaneous pad voltages relative to the reference node be V_R(t) and V_L(t). Due to the symmetric bias network, during a phase-slip voltage pulse the pad voltages satisfy V_R(t) = -V_L(t) for all t. A single phase slip advances the gauge-invariant phase difference between pads by 2*pi, so by the Josephson relation the integrated array voltage obeys integral from -inf to inf of (V_R(t)-V_L(t))dt = Phi_0, where Phi_0 = 2.067833848e-15 V*s. Define the electrical work delivered by the sources to the array during a slip event by the signed power convention W = integral from -inf to inf of (I_R V_R(t) + I_L V_L(t))dt. Assume parameters such that runaway does not occur. Constants: epsilon = 3.90e-22 J (corrected for bound regime), I = 75.0 nA, g = 5, T = 9.00 K. What is the Helmholtz free energy F(T) of the array relative to the fully unslipped state in the bound regime? Give the final answer in Joules, rounded to 3 significant figures."
13Ex,Physics,Particle Physics,Scattering Amplitude Constant,-0.167,"We examine the high-energy limit (sqrt(s) >> M_W) of the scattering process d_R + dbar_L -> W_L- + W_L+. In the simplified electroweak theory provided: Vertices: The photon couples to quarks with V_gamma_qq = +i(e/3)gamma^mu and to W-bosons with the standard Yang-Mills vertex. Helicity: The incoming d_R state forbids the t-channel diagram, isolating the s-channel photon diagram. Polarization: The outgoing longitudinal W-bosons are approximated by epsilon_L^mu(k) approx k^mu / M_W. As s -> infinity, the leading behavior of the total scattering amplitude M_total can be written in the form: M_total approx i * K * (e^2 / M_W^2 * s * sin(theta)) where K is a dimensionless real number. What is the exact value of K? Give your answer as a decimal rounded to three decimal places."
14Ex,Physics,Optics,PT-Symmetric Parity Im(P12),0.866,"A two-mode gain/loss device evolves as i*d/dt(psi)=H*psi in the basis psi=(a_L,a_R)^T, with H=[[i*gamma, kappa*e^(i*theta)], [kappa*e^(-i*theta), -i*gamma]] where gamma>0, kappa>0, and theta in R. Time reversal is complex conjugation T(psi)=psi*, so PT symmetry means P H* P = H. In this phase-coupled system, T inverts the phase parameter theta. A valid parity operator P must satisfy P_dag=P and P^2=I. Impose the convention that P(theta) depends continuously on theta and satisfies P(0)=[[0,1],[1,0]]. Fix theta=pi/3. What is Im(P_12)? (Give answer as a decimal rounded to 3 places, i.e., sqrt(3)/2)."
15Ex,Physics,Classical Mechanics,Rotating Wire Action,22.392,"A rigid straight wire is welded to a rotor that spins with constant angular velocity Omega=3 rad/s about a fixed axis A (not vertical). The axis A lies in the x-z plane and is tilted by beta=30 degrees away from the vertical Z axis. The closest-approach distance between the wire and the axis A is A=1m at a point P. At P, the wire makes an angle theta=60 degrees with the horizontal plane, and the wire is oriented so that moving upward along the wire has a horizontal component in the direction of the rotor’s motion at P. A particle of mass m=2kg moves along the wire with a constant relative speed s_dot=2m/s. What is the action S = integral from 0 to 1 of L dt, expressed to 3 decimal places in Joule-seconds?"
16Ex,Physics,Classical Mechanics,Möbius Pendulum Precession,3.142,"A space station is constructed with a centerline radius R and a track forming a Möbius strip. A transporter pod travels along the centerline at constant speed v. Twist: As the pod completes one full loop (2*pi*R), the floor normal n rotates continuously by pi radians (180 deg) about the tangent t. Experiment: A Foucault pendulum is suspended inside. At t=0, it oscillates in the transverse direction b. The pod completes one full loop. Consider only non-holonomic transport and Coriolis effects. What is the magnitude of the angle Delta_theta between the pendulum's plane of oscillation and the transverse axis of the pod's floor at the moment of return? (Answer in radians, i.e., pi)."
17Ex,Physics,Electromagnetism,Superconducting Ring Max Cooper Speed,0.0180,"A superconducting toroidal ring (R=2.5mm, sigma=0.5um^2) rotates at Omega about z. A Josephson junction (Ic=1.8649uA) is present. ns(theta)=n0(1+eps*cos(theta)), eps=0.6, L_geo=200pH, n0=5.58e27 m^-3. Ramp Omega quasistatically from 0. What is the maximum lab-frame tangential speed v_max of the Cooper pairs anywhere on the ring (in m/s) at the instant the n=0 metastable minimum disappears?"
18Ex,Physics,Classical Mechanics,Interceptor Asymptotic Distance,109,"Interceptor D (V=12m/s) pursues target T (u=12m/s) with a clockwise-biased pursuit (alpha=20 deg). Initial positions: T(0)=(0,0), D(0)=(130, -450). Switch event: The interceptor switches to pure pursuit (alpha=0) at the first time t_s > 0 when the bearing rate phi_dot = 0. What is the asymptotic distance r_inf = limit as t->inf of r(t) in meters? (3 sig figs)"
19Ex,Physics,Classical Mechanics,Bead on Accelerating Wire,0.614,"A bead of mass m slides without friction on a rigid wire bolted to a carriage accelerating at a = a0(cos(phi)x + sin(phi)y). a0=6.20m/s^2, phi=25 deg, wire rotated by theta=30 deg. Wire geometry: V=f(S) where S=|U|. Segment I: f(S)=6*S^2.5 (0 < S < 0.35). Segment II: f(S) is C1 at 0.35, k2=-262.635m^-2. Bead released from S=0. What is the bead's maximum horizontal displacement magnitude |delta_x_max| (in meters, 3 s.f.) from the release point before it turns around, measured along the lab x-axis?"
20Ex,Physics,Optics,Topological Film Max Wavelength,1180,"A 20nm film of a 3D topological insulator (bulk D3d, surface C3v) at cryogenic temp. Normal incidence laser (z-axis, 443nm). Detector co-linear. Relevant singlet levels: Bulk: B0(A1g) 0.0eV, B1(A2u) 2.80eV, B2(Eu) 3.24eV, B3(A2u) 4.70eV, B4(A1g) 5.60eV. Surface: S0(A1) 0.0eV, S1(A1) 2.14eV, S2(E) 3.24eV. B2 and S2 hybridize: H+ 3.29eV (90% B2), H- 3.19eV (10% B2). What is the maximum wavelength (nm, 3 s.f.) detectable by the photodetector?"
